,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
8015,Gabrielle Aplin,2014-05-06,Please Don't Say You Love Me,6DdyZAF3pvMXMRrI0OtDqy,36,0.737,0.479,181400,0.541,0.0,0,0.108,-9.862,1,0.0545,85.994,4,0.321
8016,Waveshaper,2014-03-24,Cyborg Telekinetics,6dmbIwHuyQudnx2cvpP1Dy,42,0.0703,0.654,182000,0.815,0.0913,0,0.34,-8.106,1,0.0342,107.998,3,0.465
8017,Johnny Paycheck,2014-03-28,(Stay Away From) The Cocaine Train,6iOKAg9g8dsNMLQPVntJNp,37,0.251,0.761,188813,0.618,0.0,0,0.0572,-10.398,1,0.0378,123.017,4,0.661
8018,Stamper,2014-04-15,Fat Refund,6u4aPGejptSY6AodRaFF62,39,0.0381,0.577,299546,0.808,0.0,8,0.65,-4.253,1,0.17,171.936,4,0.359
8019,Miss Saigon Original Cast,2014-01-01,I'd Give My Life For You - Live,0J42NZp6wjowREGQEtJ8Kz,41,0.678,0.202,334147,0.295,0.000138,5,0.167,-11.672,1,0.0343,85.247,4,0.0733
8020,Max Richter,2014-01-01,Autumn Music 2,0NQ9NrEQx22mr2CJc2h5J6,37,0.976,0.173,229360,0.196,0.848,6,0.123,-16.3,0,0.0409,109.119,4,0.164
8021,Margo Guryan,2014-04-29,Under My Umbrella,0Qdbr9IRJRKVZiEnRaxfJd,42,0.71,0.725,121333,0.444,0.001,5,0.11,-11.32,0,0.0269,96.896,4,0.623
8022,The Ukulele Boys,2014-08-06,Cool Kids - Ukulele Version,1hKm4f0IwAsaMZvJFDCDXS,41,0.921,0.89,233408,0.369,0.789,8,0.0862,-16.442,1,0.121,130.008,4,0.782
8023,The Beatles,2014-01-01,It's All Too Much,1ntoOW2GNFCnSO7mmabrTU,43,4.71e-05,0.48,385600,0.81,0.0327,7,0.262,-6.167,1,0.0382,113.521,4,0.208
8024,Official Pet Care Collection,2014-01-28,"Companionship: Calming Music to Help Relieve Separation Anxiety, Stress",1quFgtvfjz22SygbzapMuJ,40,0.982,0.248,387733,0.0551,0.919,0,0.112,-22.955,1,0.0385,127.669,4,0.0399
8025,Christina Perri,2014-03-27,i dont wanna break,3QhbkvIrMczrLURiNROwJ5,37,0.129,0.626,232640,0.741,0.0,7,0.149,-5.058,1,0.0585,133.901,4,0.275
8026,Baby Lullaby,2014-10-23,The Wheels on the Bus,3fWnZjK9f3YVzoTVUbdU4H,43,0.983,0.402,90593,0.0508,0.929,5,0.108,-19.713,1,0.0456,123.503,3,0.115
8027,Bruce Springsteen,2014-01-14,High Hopes,4GbPT7LQNb1nQePEcakZvo,47,0.00436,0.639,296573,0.888,0.00107,2,0.0497,-7.102,1,0.0364,106.957,4,0.693
8028,MitiS,2014-07-08,Life - Original Mix,4m9JuGbTpNLbge8DwQeWPy,38,0.0771,0.465,294857,0.528,0.876,2,0.0762,-11.453,1,0.0301,139.997,4,0.0737
8029,Bleachers,2014-05-27,I Wanna Get Better - RAC Mix,564431j7gU8N27qYsRqzKr,37,0.000732,0.605,169533,0.732,6.75e-06,4,0.166,-5.781,0,0.0454,94.993,4,0.557
8030,Kierra Sheard,2014-07-22,Flaws,57GQvTsith6MEe4jpjvBqQ,37,0.685,0.494,184107,0.405,3.96e-06,6,0.0723,-6.792,1,0.0297,114.641,4,0.536
8031,Revolver Cannabis,2014-07-15,Fuego Contra Fuego,57YbVwtM3JYsGQsS0fvjB3,45,0.486,0.745,229240,0.753,5.48e-05,0,0.0777,-8.391,1,0.102,123.026,4,0.953
8032,Grupo Sexto Sentido,2014-11-07,El Aguitado,5Ada0SGcbaGhwMT3XZ5Vi8,41,0.0906,0.456,139747,0.617,0.0,9,0.115,-12.289,1,0.107,179.723,3,0.866
8033,fripSide,2014-09-10,black bullet,5eTdZoM76j7f4s2PSndrH8,48,0.134,0.559,264347,0.969,0.0223,0,0.377,-3.464,1,0.172,155.007,4,0.603
8034,Bear's Den,2014-10-21,The Love We Stole,64V4viXR5kJzCr9LnnUcnq,36,0.0168,0.495,222040,0.518,0.0587,5,0.0958,-7.417,1,0.0311,130.257,4,0.176
8035,Sage The Gemini,2014-03-25,Down On Your Luck,75v49a9wVHYjQMKFF7puaK,39,0.00295,0.741,136307,0.647,4.95e-05,10,0.811,-4.826,0,0.0293,132.963,3,0.21
8036,Gwen McCrae,2014-06-03,Rockin' Chair,7Fv1ofVT92zx0XNJEEmmRW,38,0.208,0.592,204800,0.785,0.00101,9,0.0146,-5.914,0,0.0419,90.884,4,0.664
8037,deadmau5,2014-11-21,Sofi Needs a Ladder,7sN77XW4vxoJZ0rKwURMCU,38,0.00424,0.778,401622,0.709,0.00273,5,0.748,-7.752,1,0.0532,128.01,3,0.337
8038,SOHN,2014-04-07,Lessons,11Ibjx2iN27rKUqrS2zzPU,42,0.543,0.384,201151,0.716,0.133,7,0.118,-10.416,0,0.0431,79.693,4,0.433
8039,Miranda Lambert,2014-06-02,Priscilla,2LYdjYaB15TYqS3uaNtiPy,37,0.0355,0.598,206853,0.838,0.0,1,0.0423,-5.684,1,0.0378,173.034,4,0.974
