,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5798,6029,Ed Sheeran,2017-02-10,Castle on the Hill - Acoustic,5X6TnKT37TaSDkFm0598Uo,64,0.518,0.563,226227,0.26,0.0,2,0.146,-5.856,1,0.0391,145.561,4,0.616
5799,6030,Blacklite District,2017-09-22,Cold as Ice,5apjl9HKCy9HTHQFivcsOe,53,0.00615,0.43,207776,0.77,0.0,0,0.182,-7.082,1,0.0459,148.016,4,0.483
5800,6031,Jax Jones,2017-06-16,Instruction (feat. Demi Lovato & Stefflon Don),6yf3MxEOScNBTYCHOAIiNQ,60,0.102,0.767,165467,0.929,0.0,9,0.0921,-3.08,0,0.185,121.087,4,0.923
5801,6032,Ali Gatie,2017-08-05,Why,0bIWMxR3q8GlhgSFcqGKPn,54,0.145,0.77,167369,0.614,0.0,5,0.122,-7.426,0,0.0518,150.096,4,0.591
5802,6033,The Him,2017-11-24,Oasis - Kyco x Barkley Remix,5HCMxtjQaeLrNQOT5qRksq,59,0.013,0.814,163171,0.755,0.0026,4,0.0889,-8.523,0,0.0751,122.981,4,0.55
5803,6034,Erikthemc,2017-04-14,"I Spoke to the Devil in Miami, He Said Everything Would Be Fine (Remix)",3ldHQALvRnx28a4paD9Etr,53,0.982,0.373,92122,0.362,0.0137,2,0.143,-14.856,1,0.0792,84.89,4,0.212
5804,6035,Lil Pump,2017-10-06,What U Sayin' (feat. Smokepurpp),4at9j7aC7FvDlsllpOvsAC,56,0.238,0.949,140488,0.524,2.22e-05,7,0.108,-7.283,1,0.0504,122.959,4,0.685
5805,6036,Seckond Chaynce,2017-08-22,Write This Down,1uII5dO9k9xKjoGzUrm5Zx,48,0.0573,0.679,258351,0.406,0.0,4,0.107,-8.882,1,0.0293,124.506,4,0.244
5806,6037,Vallis Alps,2017-09-01,Oceans,2suCvIjriPQrcYHGmWjFh8,57,0.153,0.752,199948,0.645,0.0154,7,0.229,-8.594,1,0.0307,119.973,4,0.425
5807,6039,Halsey,2017-06-02,Good Mourning,6Ck8Lq4srTWQP1PXZ9P8aZ,51,0.713,0.629,67580,0.53,0.0274,10,0.412,-9.943,0,0.0556,99.806,4,0.78
5808,6040,Ninja Sex Party,2017-10-27,Pour Some Sugar on Me,6QTuFdY6uZixx4NkRmVJi3,51,0.0204,0.624,223301,0.871,0.0,9,0.103,-3.677,1,0.0704,97.159,4,0.41
5809,6041,Young Nudy,2017-09-13,Barbecue,2bjBfVC5Ab26lB1IzKVYxr,48,0.189,0.918,192047,0.613,5.09e-05,8,0.104,-3.995,0,0.239,129.984,4,0.57
5810,6042,The Script,2017-09-01,Rain,2QWP8NYYplOqEFBYGCcq0S,64,0.241,0.689,209347,0.586,0.0,6,0.356,-7.61,1,0.107,93.02,4,0.611
5811,6043,YoungBoy Never Broke Again,2017-07-31,Confidential,2ycI0Bdliq3it9gtvRl6Ro,48,0.0468,0.777,206785,0.549,0.0,2,0.108,-8.444,1,0.1,150.046,4,0.419
5812,6044,G Herbo,2017-09-22,I Like,3dixqholn3UPyI5nSxkJ9G,48,0.000915,0.79,178502,0.641,0.0,2,0.178,-5.5,1,0.235,143.913,4,0.171
5813,6045,Tove Lo,2017-11-17,romantics,45CiDBvF0HNtAHXQFfnSzD,55,0.00462,0.618,211649,0.716,3.73e-06,10,0.194,-6.46,1,0.0311,98.017,4,0.201
5814,6046,Injury Reserve,2017-09-29,North Pole,2Yz1XU361N8n7dPkRRSydS,51,0.45,0.599,260612,0.451,0.0,4,0.38,-11.657,0,0.382,76.784,4,0.492
5815,6047,Yung Gravy,2017-02-26,Bought the Plug a Present (feat. Jay Storm),3cOyh3PWPM6r3mzZzVMD58,49,0.439,0.765,205514,0.796,0.0,8,0.238,-6.805,1,0.268,113.107,4,0.601
5816,6048,Tora,2017-06-09,Too Little,0QikKeBIDUlP7ZvsZHP0yO,55,0.554,0.658,125035,0.479,0.119,7,0.197,-9.904,0,0.065,125.708,4,0.284
5817,6049,(Sandy) Alex G,2017-05-19,Proud,2vrUEPFeTnkeLqmG1JXiaZ,50,0.0293,0.603,297025,0.733,0.00103,4,0.198,-6.529,0,0.0264,135.122,4,0.797
5818,6050,Super Simple Songs,2017-03-24,Row Row Row Your Boat,348oHwMXNu0WvvB2o5tPM2,54,0.883,0.687,117804,0.311,2.22e-06,0,0.363,-10.665,1,0.0359,115.647,3,0.339
5819,6052,Lady Antebellum,2017-06-09,Hurt,5LN736t27w3aH0lSAMX4nD,56,0.473,0.327,226907,0.426,0.0,0,0.109,-6.757,1,0.0349,150.38,4,0.169
5820,6053,Virlan Garcia,2017-03-10,Voy Amarte Hoy,6FjdHIohlqJa4tehhoxhA7,58,0.845,0.656,253732,0.401,0.000159,4,0.0947,-5.49,0,0.0296,71.835,4,0.571
5821,6054,Moldan Sevoni,2017-06-01,Amapola,7D974yUD17vx2AMIx0xw0d,53,0.979,0.62,113752,0.0607,0.905,3,0.0935,-16.889,1,0.147,84.124,4,0.313
5822,6055,Tee Grizzley,2017-12-08,Melody,4YVQ6oy6fbMmG0T99rnsHD,49,0.123,0.743,220541,0.685,0.0,10,0.118,-6.172,0,0.248,147.815,4,0.568
5823,6056,Juan Magán,2017-11-28,Déjate Llevar,4hXAdUl4nAnSPc9thzP2E2,64,0.0212,0.687,233072,0.718,0.0,7,0.685,-5.583,1,0.0721,92.059,4,0.533
5824,6057,oofoe,2017-03-26,whereucomefrom.,4tukb1DUFeq8YjydJE8UVA,51,0.808,0.872,76301,0.207,0.961,10,0.114,-14.776,0,0.425,77.048,4,0.961
5825,6058,Jesse,2017-11-10,I Think We Should Stay in Love,5zguFFtuxuMSuRtPeKLNI3,54,0.036,0.774,157600,0.267,0.0,4,0.157,-11.142,0,0.286,75.208,4,0.446
5826,6059,Caloncho,2017-08-11,Brillo Mio,7eCDfoEl8UGeWqcpRO5lgz,68,0.0277,0.796,196267,0.395,0.00539,11,0.177,-11.537,1,0.0329,110.992,4,0.76
5827,6061,Drakeo the Ruler,2017-05-16,I Could Never,3nVz4WvB84QvwYNtZOXTCc,48,0.727,0.837,226052,0.642,0.0,5,0.0999,-8.924,0,0.346,94.986,4,0.568
5828,6062,X Ambassadors,2017-04-28,Torches,1p9mCPuPV9FGa0jnJYk0IA,55,0.00456,0.511,207373,0.593,0.0,1,0.172,-5.937,1,0.0403,63.314,4,0.429
5829,6063,Thomas Rhett,2017-09-08,Kiss Me Like A Stranger,2U57XZh5CgCjqb9VaU9ynm,48,0.365,0.728,226627,0.484,7.78e-05,1,0.126,-6.997,1,0.0282,131.984,4,0.717
5830,6064,BTS,2017-02-13,Stigma,1vB4viek8riCix3oKRTEH9,56,0.148,0.583,216063,0.475,0.0,0,0.139,-5.556,0,0.0846,136.034,4,0.332
5831,6065,Josh Ritter,2017-09-22,Thunderbolt's Goodnight,0j8vP3IdhzbmLmx2Cn8VKu,51,0.849,0.384,245440,0.399,0.012,0,0.054,-12.368,1,0.0317,101.209,4,0.275
5832,6066,Take/Five,2017-11-02,Breeze,1tb1WfMlms6eBW9w3pvgyk,51,0.161,0.681,156839,0.614,0.149,2,0.438,-4.871,0,0.184,75.299,4,0.258
5833,6067,invention_,2017-11-27,Dw3ll,3TQAawGm9edQDBUUnZMWCv,53,0.868,0.677,96000,0.384,0.0242,0,0.105,-6.6,0,0.186,69.879,4,0.367
5834,6068,Jerry Folk,2017-06-22,Purple Feelings (feat. Rainsford),4j58N9Ww4rpuOxiTK2sFVZ,53,0.136,0.71,205380,0.609,1.75e-05,11,0.465,-6.112,0,0.0356,96.994,4,0.377
5835,6069,The Sweeplings,2017-04-14,Hold Me,7spcwLd3N30fMwD7xtO84I,55,0.872,0.554,244520,0.29,0.0,7,0.082,-10.92,1,0.0327,136.073,4,0.0845
5836,6070,Future,2017-07-27,Turn On Me,4j9G1hsYMHg3n6OBG8AQFS,50,0.231,0.729,264836,0.384,0.0,11,0.115,-9.662,1,0.131,126.982,4,0.3
